"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"1RM-065","1","250K","","","","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical",""
"C1","1","0.47uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C2","1","20uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C3,C45","2","220p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C4","1","0.47uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C5,C101","2","100uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C6,C10,C57,C92","4","1n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C7,C23,C30,C34","4","10n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C8,C22,C24,C25,C26,C27,C28,C40,C46,C59,C60,C94","12","47n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C9,C11,C50,C51","4","1u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C12,C13,C14,C18","4","0.01uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C15,C85","2","100pF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C16","1","0.1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C17","1","0.01uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C19","1","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C20,C32,C33","3","47u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C21,C37","2","22u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C29","1","15u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C31","1","100u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C35,C36","2","33u","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C38","1","5p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C39","1","47p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C41","1","33uF","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C42","1","1uf","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C43,C61","2","6n8","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C44,C62","2","100p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C47","1","12n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C48,C58","2","150p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C49,C52","2","33n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C53","1","3n9","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C54","1","8n2","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C55","1","330p","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C56","1","220n","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
"C63","1","1uF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm",""
