"Идентиф.";"Обозначение";"Посад. место";"Количество";"Значение";"Поставщик и справка";
1;"1RM-065";"Potentiometer_Runtron_RM-065_Vertical";1;"250K";;;
2;"C1";"CP_Radial_D10.0mm_P2.50mm";1;"0.47uF";;;
3;"C2";"CP_Radial_D10.0mm_P2.50mm";1;"20uF";;;
4;"C3, C45";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"220p";;;
5;"C4";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.47uF";;;
6;"C5, C101";"CP_Radial_D10.0mm_P2.50mm";2;"100uF";;;
7;"C6, C10, C57, C92";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"1n";;;
8;"C7, C23, C30, C34";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"10n";;;
9;"C8, C22, C24, C25, C26, C27, C28, C40, C46, C59, C60, C94";"C_Disc_D5.0mm_W2.5mm_P2.50mm";12;"47n";;;
10;"C9, C11, C50, C51";"CP_Radial_D10.0mm_P2.50mm";4;"1u";;;
11;"C12, C13, C14, C18";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"0.01uF";;;
12;"C15, C85";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"100pF";;;
13;"C16";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.1uF";;;
14;"C17";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.01uf";;;
15;"C19";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"100nF";;;
16;"C20, C32, C33";"CP_Radial_D10.0mm_P2.50mm";3;"47u";;;
17;"C21, C37";"CP_Radial_D10.0mm_P2.50mm";2;"22u";;;
18;"C29";"CP_Radial_D10.0mm_P2.50mm";1;"15u";;;
19;"C31";"CP_Radial_D10.0mm_P2.50mm";1;"100u";;;
20;"C35, C36";"CP_Radial_D10.0mm_P2.50mm";2;"33u";;;
21;"C38";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"5p";;;
22;"C39";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"47p";;;
23;"C41";"CP_Radial_D10.0mm_P2.50mm";1;"33uF";;;
24;"C42";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"1uf";;;
25;"C43, C61";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"6n8";;;
26;"C44, C62";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"100p";;;
27;"C47";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"12n";;;
28;"C48, C58";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"150p";;;
29;"C49, C52";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"33n";;;
30;"C53";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"3n9";;;
31;"C54";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"8n2";;;
32;"C55";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"330p";;;
33;"C56";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"220n";;;
34;"C63";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"1uF";;;
35;"C64";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.33";;;
36;"C65, C80";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"0.01";;;
37;"C66";"CP_Radial_D10.0mm_P2.50mm";1;"1uf";;;
38;"C67";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.0033";;;
39;"C68";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.015";;;
40;"C69";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"470pF";;;
41;"C70";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.0047";;;
42;"C71";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"150pF";;;
43;"C72, C75, C76";"CP_Radial_D10.0mm_P2.50mm";3;"10uF";;;
44;"C73";"CP_Radial_D10.0mm_P2.50mm";1;"2.2uF";;;
45;"C74";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.047";;;
46;"C77";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"0.0027";;;
47;"C78";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"180pF";;;
48;"C79, C81, C84, C86, C95";"CP_Radial_D10.0mm_P2.50mm";5;"1uF";;;
49;"C82, C93";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"22n";;;
50;"C83";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"47pF";;;
51;"C87, C89";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"2n2";;;
52;"C88";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"4n7";;;
53;"C90, C91, C96, C97";"C_Disc_D5.0mm_W2.5mm_P2.50mm";4;"100n";;;
54;"C98, C99";"CP_Radial_D10.0mm_P2.50mm";2;"47uF";;;
